rows,cols,runs,runtime_sec
25000,5,3,0.8386760666423166
25000,20,3,1.0725580000629027
25000,35,3,1.308076066702294
25000,50,3,1.7116261666718249
50000,5,3,1.2201002333313227
50000,20,3,1.699893133287939
50000,35,3,2.0201822666761777
50000,50,3,2.530486866637754
100000,5,3,1.2427184999687597
100000,20,3,2.3439918333509318
100000,35,3,3.519150966700787
100000,50,3,4.62114369997289
200000,5,3,1.9541550000042964
200000,20,3,4.2182995999464765
200000,35,3,6.419036100036465
200000,50,3,8.702143100012714
