ruleset,rows,cols,runtime_sec
Small,1000000,5,5.188692399999127
Small,1000000,20,17.10044149996247
Small,1000000,50,43.327032200060785
Small,5000000,5,27.60174149996601
Small,5000000,20,88.62072180001996
Small,5000000,50,313.07884730002843
Medium,1000000,5,6.57513829995878
Medium,1000000,20,27.273976599914022
Medium,1000000,50,65.72172839997802
Medium,5000000,5,43.6163574999664
Medium,5000000,20,144.343308600015
Medium,5000000,50,357.22988860006444
Large,1000000,5,5.4942561000352725
Large,1000000,20,23.66305289999582
Large,1000000,50,65.83783969993237
Large,5000000,5,39.6719044999918
Large,5000000,20,90.06124289997388
Large,5000000,50,271.370328500052
