ruleset,rows,cols,repeat,runtime_sec
Small,25000,5,1,0.6595677000004798
Small,25000,5,2,0.6844021000433713
Small,25000,5,3,0.6387187000364065
Small,25000,20,1,0.9836499999510124
Small,25000,20,2,0.8938450999557972
Small,25000,20,3,0.933567300089635
Small,25000,35,1,1.6376921000191942
Small,25000,35,2,1.265365400002338
Small,25000,35,3,1.1882662000134587
Small,25000,50,1,1.4612278999993578
Small,25000,50,2,1.4587046999949962
Small,25000,50,3,1.5009340000106022
Small,50000,5,1,0.7877449999796227
Small,50000,5,2,0.7679367000237107
Small,50000,5,3,0.9510691999457777
Small,50000,20,1,1.5037893999833614
Small,50000,20,2,1.64157440001145
Small,50000,20,3,1.4442534000845626
Small,50000,35,1,1.852316299919039
Small,50000,35,2,2.025145500083454
Small,50000,35,3,2.171096200007014
Small,50000,50,1,2.7934232000261545
Small,50000,50,2,2.368513499968685
Small,50000,50,3,2.3886169999605045
Small,100000,5,1,1.009994399966672
Small,100000,5,2,1.0704252999275923
Small,100000,5,3,1.0276089999824762
Small,100000,20,1,2.0469180999789387
Small,100000,20,2,2.0558929999824613
Small,100000,20,3,2.018607100006193
Small,100000,35,1,3.0686425999738276
Small,100000,35,2,3.179121799999848
Small,100000,35,3,3.1905575999990106
Small,100000,50,1,4.244671299937181
Small,100000,50,2,4.251731700031087
Small,100000,50,3,4.208762399968691
Small,200000,5,1,1.4847682000836357
Small,200000,5,2,1.4674417999340221
Small,200000,5,3,1.508844600059092
Small,200000,20,1,3.682094799936749
Small,200000,20,2,3.6593952999683097
Small,200000,20,3,3.6645889999344945
Small,200000,35,1,5.778038899996318
Small,200000,35,2,5.936836800072342
Small,200000,35,3,5.8164940000278875
Small,200000,50,1,7.930041800020263
Small,200000,50,2,7.927985099959187
Small,200000,50,3,7.955578699940816
Medium,25000,5,1,0.6923917999956757
Medium,25000,5,2,0.6867308999644592
Medium,25000,5,3,0.7891123000299558
Medium,25000,20,1,0.9958137000212446
Medium,25000,20,2,0.9861908000893891
Medium,25000,20,3,1.0104861999861896
Medium,25000,35,1,1.257949099992402
Medium,25000,35,2,1.3539519000332803
Medium,25000,35,3,1.3221364000346512
Medium,25000,50,1,1.5438923999899998
Medium,25000,50,2,1.7251628999365494
Medium,25000,50,3,1.5949886000016704
Medium,50000,5,1,0.9489322999725118
Medium,50000,5,2,0.9088845000369474
Medium,50000,5,3,0.8863639999181032
Medium,50000,20,1,1.481626799912192
Medium,50000,20,2,1.4656296001048759
Medium,50000,20,3,1.46341049997136
Medium,50000,35,1,2.0690902000060305
Medium,50000,35,2,2.076891400036402
Medium,50000,35,3,2.2397534999763593
Medium,50000,50,1,2.618721400038339
Medium,50000,50,2,2.713520099991001
Medium,50000,50,3,2.5621240999316797
Medium,100000,5,1,1.2184811999322847
Medium,100000,5,2,1.2400265999604017
Medium,100000,5,3,1.1682269000448287
Medium,100000,20,1,2.4751718000043184
Medium,100000,20,2,3.0521276000654325
Medium,100000,20,3,2.5642781999194995
Medium,100000,35,1,3.3087450000457466
Medium,100000,35,2,3.489226400037296
Medium,100000,35,3,3.8597270000027493
Medium,100000,50,1,4.900764900026843
Medium,100000,50,2,4.6961783999577165
Medium,100000,50,3,4.9953421000391245
Medium,200000,5,1,1.732376900035888
Medium,200000,5,2,1.6912807999178767
Medium,200000,5,3,1.864926900016144
Medium,200000,20,1,3.9613005000865087
Medium,200000,20,2,4.065157899982296
Medium,200000,20,3,4.16710520000197
Medium,200000,35,1,6.368676600046456
Medium,200000,35,2,7.828048099996522
Medium,200000,35,3,6.79734519997146
Medium,200000,50,1,9.915801199967973
Medium,200000,50,2,8.254057400044985
Medium,200000,50,3,8.254095999989659
Large,25000,5,1,0.7199975999537855
Large,25000,5,2,0.7755609999876469
Large,25000,5,3,0.7331817999947816
Large,25000,20,1,0.9806792000308633
Large,25000,20,2,1.0200933000305668
Large,25000,20,3,0.9792905000504106
Large,25000,35,1,1.2915125000290573
Large,25000,35,2,1.2577846000203863
Large,25000,35,3,1.3159837999846786
Large,25000,50,1,1.5156010000500828
Large,25000,50,2,1.4981003999710083
Large,25000,50,3,1.4967598000075668
Large,50000,5,1,0.8141369000077248
Large,50000,5,2,0.8565332000143826
Large,50000,5,3,0.8091255000326782
Large,50000,20,1,1.3570320999715477
Large,50000,20,2,1.3612706999992952
Large,50000,20,3,1.3657394999172539
Large,50000,35,1,1.9267536000115797
Large,50000,35,2,1.8753169999690726
Large,50000,35,3,1.89048540010117
Large,50000,50,1,2.4296090999851003
Large,50000,50,2,2.471089700004086
Large,50000,50,3,2.4356505000032485
Large,100000,5,1,1.0928165999939665
Large,100000,5,2,1.0825065000681207
Large,100000,5,3,1.0793970000231639
Large,100000,20,1,2.1311821000417694
Large,100000,20,2,2.115283799939789
Large,100000,20,3,2.131166400038637
Large,100000,35,1,3.2082368000410497
Large,100000,35,2,3.1937402000185102
Large,100000,35,3,3.1816123999888077
Large,100000,50,1,4.320425000041723
Large,100000,50,2,4.3693978999508545
Large,100000,50,3,4.299327499931678
Large,200000,5,1,1.65667149994988
Large,200000,5,2,1.6185323999961838
Large,200000,5,3,1.5713032999774441
Large,200000,20,1,3.660052499966696
Large,200000,20,2,3.6896290000295267
Large,200000,20,3,3.6813129000365734
Large,200000,35,1,5.925893500098027
Large,200000,35,2,5.99860940000508
Large,200000,35,3,6.2800129998940974
Large,200000,50,1,8.356066099950112
Large,200000,50,2,8.230397299979813
Large,200000,50,3,8.351851499988697
